page_content,page,source,author,theme
"Before the  
FEDERAL COMMUNICATIONS COMMISSION  
Washington, D.C. 20554  
In the Matter of 
Wireless Telecommunications Bureau Seeks 
Comment on Ways to Facilitate Access to 
Currently Unassigned Auction Inventory 
Spectrum for Wireless Radio Services in Light 
of The Ongoing Lapse of Auction Authority  ) 
) 
) 
) 
) 
) 
) WT Docket No. 24 -72 
 
REPLY COMMENTS OF T -MOBILE USA , INC.  
T-Mobile USA, Inc. (“T -Mobile”)1/ submits these reply comments in response to the 
comments filed in the above -referenced proceeding regarding  whether and how, in light of the 
expiration of the  Commission’s authority to condu ct spectrum auctions, the  Wireless 
Telecommunications Bureau  (“Bureau”)  should use its existing  regulatory tools  to provide 
access to the inventory of currently unassigned spectrum in bands previously licensed for 
wireless services through auctions (“Inven tory Spectrum”).2/  Commenters broadly agree that, 
while the restoration of the Commission’s spectrum auction authority must be a Congressional 
priority, the Bureau should utilize its existing Special Temporary Authority (“STA”) framework 
so that  the publ ic can most quickly and effectively use Inventory Spectrum.  The record also 
demonstrat es that a lternative mechanisms such as dynamic spectrum sharing, issuing licens es by 
rule, and site-based licensing would be too time -consuming and complex to implement to be 
effective at making Inventory Spectrum available for what will be on ly a temporary basis .  
 
1/ T-Mobile USA, Inc. is a wholly -owned  subsidiary of T -Mobile US, Inc., a publicly traded 
company.  
2/ See Wireless Telecommunications Bureau Seeks Comment on Ways to Facilitate Access to 
Currently Unassigned Auction Inventory Spectrum for Wireless Radio Services in Light of the Ongoing 
Lapse o f Auction Authority , Public Notice, DA 24 -215 (rel. Mar. 7, 2024) (“ Public Notice ”).",0,T-Mobile -- Reply Comments on Unassigned Auction Inventory Spectrum.pdf,T -MOBILE USA,WTB Seeks Comment on Options for Facilitating Access to Unassigned Auction Inventory Spectrum
"2 I. THE RECORD SUPPORTS AUTHORIZING INVENTORY SPECTRUM 
THROUGH THE BUREAU’S EXISTING STA FRAMEWORK  
Commenters  agree that the Bureau should make Inventory Spectrum available through 
the Commission’s STA framework.3/  Inventory Spectrum is spectrum that has already been 
made available through spectrum auctions.  And once Congress restores the Commission’ s 
spectrum auction authority, the Commission will begin the process of making Inventory 
Spectrum available again on a permanent, licensed basis through spectrum auctions.4/  
Accordingly, as commenters observe, only temporary  access to Inventory Spectrum i s required , 
and use of an STA framework is the best mechanism to achieve that result .  AT&T notes that  
using an STA model would  “enable  [Inventory Spectrum] to be rapidly put to beneficial use, 
while preserving the ability to auction these licenses in the future.”5/  Verizon concurs , stating  
that the Bureau “can use STAs to enable access to Inventory Spectrum on a temporary basis.”6/   
Further, as the Bureau recognizes, STAs are a “well -established access mechanism” that 
is familiar to providers and would be simple to administer.7/  This means that  STAs can be 
implemented quickly, without the need to establish new procedures and educate  providers on 
how to apply .  CTIA and others highlight  that the “Commission has had success in the past using 
STAs ” to grant temporary access to spectrum under extraordinary circumstances.8/  The Bureau 
should build on that success by allowing access to I nventory Spectrum through the STAs.  
 
3/ See, e.g. , Comments of CTIA , WT Docket No. 24 -72, at 7 -10 (filed Apr. 8, 2024)  (“CTIA 
Comments”) ; Comments of Verizon , WT Docket No. 24 -72, at 3 (filed Apr. 8, 2024)  (“Verizon 
Comments”) ; Comments of AT&T Services, Inc. , WT Docket No. 24 -72, at 9 -10 (filed Apr. 8, 2024)  
(“AT&T Comments”) . 
4/ See Public Notice  ¶ 2. 
5/ AT&T Comments at 2.  
6/ Verizon Comments at 10. 
7/ Public Notice ¶ 11.  
8/ See CTIA Comments at 7 ; AT&T Comments at 4.",1,T-Mobile -- Reply Comments on Unassigned Auction Inventory Spectrum.pdf,T -MOBILE USA,WTB Seeks Comment on Options for Facilitating Access to Unassigned Auction Inventory Spectrum
"3 Commenters  further support  the use of STAs because they would allow the Bureau to 
make Inventory Spectrum available under the same service rules that apply to incumbent 
operations .  That is vital because, as CTIA highlights, it would allow providers to use Inventory 
Spectrum to seamlessly supplement their networks.9/  It would also ensure that spectrum use 
under an STA is  consistent with the rules that govern license es of auctioned  spectrum , preserving 
a uniform  technical framework under which both STA holders and licensees would operate.   
More over, as AT&T observes, granting STAs under the same service rules  would  enable the 
efficient transition from STA to permanent authorization  when auction authority is restored .10/   
II. COMMENTERS AGREE THAT ALTERNATIVE MECHANISMS FOR 
ASSIGNING INVENTORY SPECTRUM SHOULD BE REJECTED   
The record demonstrates that the Bureau should not adopt alternative mechanisms like 
dynamic spectrum sharing, licensing -by-rule, or site-based licensing  to make Inventory Spectrum 
available .11/  All of these proposals are permanent solutions that are poorly suited to this 
temporary problem.   Indeed, t hese alternative proposals will require time -consuming efforts to 
develop and implement .  CTIA , for example, points out that the sharing model  used in the 
Citizens Broadband Radio Service as well as the 6 GHz Automated Frequency Coordination 
framework  have taken years to develop and implement.12/  But taking the time to develop these 
framework s would defeat the very purpose of this proceeding – to make spectrum available only 
 
9/ See CTIA Comments at 2.  
10/ See AT&T Comments at 4.  
11/ See, e.g., Comments of the Dynamic Spectrum Alliance, W T Docket No. 24 -72, at 2 (filed Apr. 
8, 2022); Comments of Federated Wireless, Inc. , WT Docket No. 24 -72, at 2 (filed Apr. 8, 2022); 
Comments of NCTA – The Internet & Television Association, W T Docket No. 24 -72, at 4 (filed Apr. 8, 
2022); Comments of Open Technology Institut e at New America and Public Knowledge, W T Docket No. 
24-72, at 5 (filed Apr. 8, 2022); Comments of DeepSig., Inc., W T Docket No. 24 -72, at 3 (filed Apr. 8, 
2022); Comments of Blooston Rural Carriers, W T Docket No. 24 -72, at 4 (filed Apr. 8, 2022) (“Blooston 
Rural Carriers Comments”).  
12/ See CTIA Comments at 9 ; see also Verizon Comments at 8 .",2,T-Mobile -- Reply Comments on Unassigned Auction Inventory Spectrum.pdf,T -MOBILE USA,WTB Seeks Comment on Options for Facilitating Access to Unassigned Auction Inventory Spectrum
"4 while the FCC’s spectrum auction authority has expired.13/  By the time any of these sharing 
mechanism are implemented , Inventory Spectrum could likely be put to auction , obviating the 
need for such mechanisms . 
In addition , these alternative mechanisms would  threaten to upset the existing 
frameworks for the spectrum bands at issue.   The time to consider alternative proposals , like 
spectrum sharing , is when the Commission is considering opening a new band for expanded use.  
But for Inventory Spectrum, which ha s already been subject to auction, the introduction of 
sharing or other alternative mechanisms would disrupt  the established and successful licensing 
and operating rules that are already in place .14/  As CTIA cautions , introducing new use  
framework s subjec t to different technical and operating parameters  “would be a legally 
vulnerable infringement on existing licensees’ rights, disrupt and fragment the existing spectrum 
environment, undermine investment, and introduce the potential for harmful interference to 
existing co - and adjacent -band licensees.”15/  The Bureau  should , as AT&T and Verizon contend,  
avoid taking any action that could impact the rights of existing licensees .16/   
III. THE BUREAU SHOULD REJECT CALLS TO RECONSIDER RULES 
UNRELATED TO PROVIDING TEMPORARY ACCESS TO INVENTORY 
SPECTRUM  
Finally, contrary to the claims of some parties, this proceeding should not be used as an 
opportunity to revisit rules unrelated to the temporary use of Inventory Spectrum.  In particular , 
the Bureau should not re -evaluate eligibility for Inventory S pectru m.  There was  no “right of first 
refusal” for non -incumbent carriers, as EchoStar proposes , for Inventory Spectrum when it was 
 
13/ See Public Notice ¶ 2. 
14/ See CTIA Comments at 8; AT&T Comments at 7; Verizon Comments at 8.  
15/ CTIA Comments at 8.  
16/ See Verizon Comments at 9; AT&T Comments at 7.",3,T-Mobile -- Reply Comments on Unassigned Auction Inventory Spectrum.pdf,T -MOBILE USA,WTB Seeks Comment on Options for Facilitating Access to Unassigned Auction Inventory Spectrum
"5 made available for auction.17/  Therefore, there should be no “right of first refusal” for Inventory 
Spectrum now.  To the contra ry, Inventory S pectrum should be authorized for use by those that 
can use it the most quickly, efficiently, and effectively.18/  That means , as AT&T suggests, that  
the Bureau should ensure that Inventory Spectrum is made available to existing licensees tha t can 
integrate the spectrum into their existing networks, without requiring new builds.19/   
Nor is this proceeding an opportunity for the Bureau to reconsider whether auctions 
should be used at all to license the Inventory Spectrum.20/  As an initial mat ter, Section 309(j) of 
the Communications act directs the Commission to conduct auctions to select among mutually 
exclusive applications in most instances.21/  That Congressional determination remains sound  and 
the Commission’s ability to use this critical  tool will soon be restored .  As CTIA explains, 
spectrum auctions “drive market -based competition, ensuring spectrum is allocated to its highest 
use while encouraging providers to invest billions each year to build and improve the world’s 
most robust wireless networks. ”22/  The Bureau has further explained that the competition 
fostered by spectrum auctions ensures that “the Nation’s scarce spectrum resources are put to 
their highest and best use” by assigning spectrum to the party that values it the mo st.23/   
 
17/ See Comments of EchoStar Corporation, WT Docket No. 24 -72, at 2 (filed Apr. 8, 2024) 
(“EchoStar Comments”).  
18/ See AT&T Comments at 5.  
19/ See id. (arguing  that the Bureau should “ensure that STAs go to entities prepared to rapidly put 
this spectrum to use for the benefit of consumers”).  
20/ See, e.g. , Blooston Rural Carriers Comments at 3 -4; Comments of Edison Electric Institute, et al. , 
WT Docket No. 24 -72, at 6 (filed Apr. 8, 2024); Comments of WISPA – The Association for Broadband 
Without Boundaries, WT Docket No. 24 -72, at 6 (filed Apr. 8, 2024).  
21/ See 47 U.S.C. §309(j)(1).   
22/ CTIA Comments at 3. 
23/ Public Notice ¶ 6.",4,T-Mobile -- Reply Comments on Unassigned Auction Inventory Spectrum.pdf,T -MOBILE USA,WTB Seeks Comment on Options for Facilitating Access to Unassigned Auction Inventory Spectrum
"6 When the Commission adopts  rules  governing how spectrum will be licensed, it makes a 
related determination regarding the associated auction rules.24/  That has already occurred with 
respect to the Inventory Spectrum.  Accordingly, parties who now seek to change how the 
Inventory Spectrum is licensed are asking the Commission to modify or reconsider its rules, 
potentially initiating a years -long process that will delay use of the spectrum.  That outcome is 
contrary to the public interest.  In contra st, if a party values Inventory Spectrum – as Congress 
envisioned when it established the requirement to conduct spectrum auctions – it should 
participate in the eventual auction of that spectrum once the Commission’s authority to conduct 
such an auction i s restored.25/  The Commission should not entertain attempts to use what should 
be a temporary access mechanism as an end -around means to gaining permanent access to 
spectrum  for free .   
Similarly, the Bureau should not reassess in the context of this proc eeding the 
Commission’s long-standing approach to temporary spectrum use under its mobile spectrum 
holdings policies , as EchoStar proposes .26/  As noted above, commenters highlight that Inventory 
Spectrum  need only be made available on a temporary basis .  And the Commission has explicitly 
excluded temporary spectrum from its  mobile spectrum holdings policies .27/  The Commission  
 
24/ See, e.g. , Facilitating Shared Use in the 3100 -3550 MHz Band , Second Report and Order, 36 
FCC Rcd 5987 , ¶¶ 97 (applying general wireless service rules), 138 -48 (establishing auction rules) 
(2021).  
25/ See AT&T Comments at 3 (“Auctions are not only the ideal model for assigning exclusive -use, 
licensed mobile spectrum in general, they also are the correct model for licensing the Inventory 
Spectrum.”).  
26/ See EchoStar Comments at 3 . 
27/ Policies Regarding Mobile Spectrum Holdings , Report and Order, 29 FCC Rcd 6133, ¶ 301 
(2014).",5,T-Mobile -- Reply Comments on Unassigned Auction Inventory Spectrum.pdf,T -MOBILE USA,WTB Seeks Comment on Options for Facilitating Access to Unassigned Auction Inventory Spectrum
"7 considers how it should apply its mobile spectrum holdings policies when it det ermines the 
service rules for spectrum that will be auctioned  and made available on a permanent basis.28/   
IV. CONCLUSION  
Commenters agree that the  most effective way to make use of Inventory Spectrum on a 
temporary basis is for the Bureau to  leverage its exi sting authority and grant access to that 
spectrum using STAs .  Alternative approaches would be slow to deploy and risk disrupting 
incumbent operations in Inventory Spectrum bands.  The Bureau should therefore act promptly 
to make Inventory Spectrum availab le by STA , which will allow consumers to benefit from 
enhanced capacity now while Congress works to restore auction authority .  
Respectfully submitted,  
/s/ Steve B. Sharkey  
 
Steve B. Sharkey  
John Hunter  
Chris Wieczorek  
T-MOBILE USA, INC.  
601 Pennsylvania Avenue, N.W.  
Suite 800  
Washington, DC 20004  
(202) 654 -5900  
April 22, 2024  
 
 
28/ Id. ¶ 6.",6,T-Mobile -- Reply Comments on Unassigned Auction Inventory Spectrum.pdf,T -MOBILE USA,WTB Seeks Comment on Options for Facilitating Access to Unassigned Auction Inventory Spectrum
"1 
 Before the  
FEDERAL COMMUNICATIO NS COMMISSION  
Washington, D.C.  20554 
 
In the Matter of  
 
Wireless Telecommunications Bureau Seeks 
Comment on Options for Facilitating Access to 
Unassigned Auction Inventory Spectrum  
 ) 
) 
) 
) 
) 
)  
 
WT Docket No. 24 -72 
 
 
 
REPLY COMMENTS OF ECHOSTAR  CORPORATION  
I. Introduction and Summary  
EchoStar Corporation (“EchoStar”) submits these reply comments in response to the 
Public Notice  seeking comment on facilitating  access to its inventory of currently unassigned 
spectrum in bands previously licensed for wireless services through auctions ( “Inventory 
Spectrum” ).1  The record reflects strong support for making Inventory Spectrum available for 
commercial use until Congress restores the Commission’s spectrum auction authority.  T he vast 
majority of commenters support the use of Special Temporary Authority (“STA s”) to quickly 
make the Inventory Spectrum available to a carrier that can put it to use for consumer benefit.  
But as expected, AT&T, Verizon, and T -Mobile all appear inter ested in using or maintaining 
their access  to the Inventory Spectrum.  EchoStar urges the Commission to focus on competition 
as it decides how to make this important  spectrum available to the market.  
  
 
 
                                                   
1 Public Notice, Wireless Telecommunications  Bureau Seeks Comment on Ways to Facilitate Access to 
Currently Unassigned Auction Inventory Spectrum for Wireless Radio Services in Light of the Ongoing 
Lapse of Auction Authority , WT Docket No. 24 -72, DA 24 -215 (March 7, 2024)  (hereinafter “Public 
Notice”) .",0,2024-04-22 EchoStar Spectrum Inventory Reply Comments.pdf,ECHOSTAR  CORPORATION,WTB Seeks Comment on Options for Facilitating Access to Unassigned Auction Inventory Spectrum
"2 
 II. The Record Reflects Strong Support for Using STAs to  Allocate Inventory 
Spectrum  
While the record reflects consensus on the importance of Congressional restoration of 
FCC auction authority, commenters generally agree that there is long Commission precedent for 
using STAs to efficiently make spectrum available .2  EchoStar agrees with AT&T that STAs can 
be a “win -win”3 for the Commission and the public , because consumers  get the benefit of more 
wireless bandwidth, yet  the Inventory Spectrum will still be available later for auction .4  
Utilizing STAs will “most closely align with the existing licensing scheme for traditionally 
auctioned spectrum”5 and it is vit al that the Inventory Spectrum should “not lie fallow”6  while 
the Commission waits for Congress to act.   In short, the record is clear that STAs  represent the 
best approach to allocating the Inventory Spectrum on a temporary basis.  
                                                   
2 See Comments of CTIA, In the Matter of Wireless Telecommunications Bureau Seeks Comment on 
Ways to Facilitate Access to Currently Unassigned Auction Inventory Spectrum for Wireless Radio 
Services in Light of the Ongoing Lapse of Auction Authority , WT Docket No. 24 -72, DA 24 -215, at 7 -8 
(April 8, 2024)  (“CTIA Comments”) .   See also Comments of WISPA –  The Association For Broadband 
Without Boundaries, In the Matter of Wireless Telecommunications Bureau Seeks Comment on Ways to 
Facilitate Access to Currently Unassigned Auction Inventory Spectrum for Wireless Radio Services in 
Light of the Ongoing Lapse of Auction Authority , WT Docket No. 24 -72, DA 24 -215, at 6-7 (April 8, 
2024)  (“WISPA Comments” ). 
3 See Comment s of AT&T Services Inc., In the Matter of Wireless Telecommunications Bureau Seeks 
Comment on Ways to Facilitate Access to Currently Unassigned Auction Inventory Spectrum for Wireless 
Radio Services in Light of the Ongoing Lapse of Auction Authority , WT Do cket No. 24 -72, DA 24 -215, at 
3 (April 8, 2024)  (“AT&T Comments”) . 
4 See also CTIA Comments at 7 -8; AT&T Comments at 3-6; Comments of T -Mobile  USA, Inc. , In the 
Matter of Wireless Telecommunications Bureau Seeks Comment on Ways to Facilitate Access to 
Currently Unassigned Auction Inventory Spectrum for Wireless Radio Services in Light of the Ongoing 
Lapse of Auction Authority , WT Docket No. 24 -72, DA 24 -215, at 5-8 (April  8, 2024)  (“T-Mobile 
Comments”) ; Comments of Verizon , In the Matter of Wireless Tel ecommunications Bureau Seeks 
Comment on Ways to Facilitate Access to Currently Unassigned Auction Inventory Spectrum for Wireless Radio Services in Light of the Ongoing Lapse of Auction Authority , WT Docket No. 24 -72, DA 24 -215, at 
9-10 (April 8, 2024)  (“Verizon Comments”) ; WISPA Comments at 6-7. 
5 T-Mobile Comments at 5.  
6 Verizon Comments at 10.",1,2024-04-22 EchoStar Spectrum Inventory Reply Comments.pdf,ECHOSTAR  CORPORATION,WTB Seeks Comment on Options for Facilitating Access to Unassigned Auction Inventory Spectrum
"3 
 III. Inventory Spectrum Should  Support Competition, Not Harm It  
What the Commission should not do, however, is hand the Inventory Spectrum to the 
dominant incumbents, one of whom has amassed spectrum egregiously in excess of the spectrum 
screen.  The Commission has a n opportunity to bolster competition “in a manner that yields the 
most benefits to t he public”7 by making the Inventory Spectrum available to smaller and non -
dominant carriers .  As EchoStar explained,8 non-incumbent carriers (specifically, carriers other 
than AT&T, Verizon, and T -Mobile) should have a right of first refusal to all Inventory 
Spectrum.  The Commission should make this spectrum available to non-incumbent carriers 
through its STA mechanism for no fee ,9 just as it did for the dominant incumbents during 
COVID.10  The Inve ntory Spectrum should be offered on a market -wide basis for a time -period 
of at least 36 months.  Only if no non- incumbent carrier wants to or could use specific Inventory 
Spectrum should the incumbents be able to apply to use it under a six-month lease fr om the 
government upon a fee payment to the U.S. Treasury.  The Commission should also confirm that 
all Inventory Spectrum is in fact  not in use .  T-Mobile has two pending renewals to use a large 
swath e of 600 MHz Inventory Spectrum, and it is unclear if T -Mobile has continued to use that 
spectrum in spite of the expiration of the most recent STA term.11 
                                                   
7 Public Notice at ¶ 1. 
8 Comments of EchoStar Corporation, In the Matter of Wireless Telecommunications Bureau Seeks 
Comment on Options for Facilitating Access to Unassigned Auction Inventory Spectrum , Docket No. 24 -
72, DA 24 -215 (Apr. 8, 2024)  at 2-3 (“EchoStar Comments”) .  
9 See Public Notice at ¶ 11.  
10 See, e.g. Cellco Partnership, Special Temporary Authority, Call Sign WRFS458, File No. 0009517680; 
New Cingular Wireless PCS, LLC, Special Temporary Authority, Call Sign WRFS463, File No. 
0010435147; T -Mobile License LLC Special Temporary Authority, Call Sign WRFP839, File No. 
0010419918; T -Mobile License LLC Special Temporary Authority, Call Sign WRFS832, File No. 
0010419900.  
11 T-Mobile has two STAs for Inventory Spectrum that officially expired on February 8, 2023.  T -Mobile 
has filed applications to renew those STAs at 180 -day intervals with no apparent FCC response.  See",2,2024-04-22 EchoStar Spectrum Inventory Reply Comments.pdf,ECHOSTAR  CORPORATION,WTB Seeks Comment on Options for Facilitating Access to Unassigned Auction Inventory Spectrum
