page_content,page,source,author,theme
"STATEMENT OF
COMMISSIONER JESSICA ROSENWORCEL
Re: Partitioning, Disaggregation, and Leasing of Spectrum, WT Docket No. 19-38
In 2015, Senator Klobuchar and Senator Fischer introduced bipartisan legislation to improve 
universal service by extending the reach of wireless broadband in rural communities.  They proposed to 
do this by providing incentives for wireless carriers to partition, disaggregate, and lease unused spectrum 
to smaller carriers serving rural areas.  This rulemaking builds on their proposal, which was featured in 
appropriations legislation from last year.  To this effort, I offer my full support.
I also offer my optimism.  That’s because at its core, universal service is the principle that no 
matter who you are or where you live you need access to modern communications to have a fair shot at 
21st century success.  This is a sacred responsibility under the law.  But we all know that the tools this 
agency is using have not been sufficient to get the job done.  Millions of Americans still lack access to 
affordable broadband, especially in rural communities.  So it’s a positive step that through this proceeding 
we evolve our thinking about universal service and recognize that spectrum policy tools can help bring 
advanced communication to remote areas.  
Now here’s the next step we should take if we want to be successful.  The partitioning, 
disaggregation, and leasing contemplated here will work better if our secondary markets can operate with 
full information.  Today, the place to go for information about who owns spectrum and who might sell or 
lease it is our Universal Licensing System.  But this database is opaque.  It’s not user friendly.  Moreover, 
it will only grow more complex and harder to use as we divide and divvy up licenses as contemplated 
here.  So I believe as we move forward with this proceeding, we need in parallel a proceeding that will 
improve this database and increase the transparency of spectrum ownership.  I hope my colleagues 
agree—and I look forward to making it happen.",0,FCC-19-22A5.pdf,Commission documents,"Partitioning, Disaggregation, and Leasing of Spectrum"
"Federal Communications Commission DA 19-202
Before the
Federal Communications Commission
Washington, D.C. 20554
In the Matter of
Improving Wireless Emergency Alerts and 
Community-Initiated Alerting
Amendments to Part 11 of the Commission’s Rules 
Regarding the Emergency Alert System)
)
)
)
)
)
)
)
)PS Docket No. 15-91
PS Docket No. 15-94
ORDER
Adopted:  March 21, 2019 Released:  March 21, 2019
By the Chief, Public Safety and Homeland Security Bureau:
I. INTRODUCTION
1. In this Order, the Public Safety and Homeland Security Bureau (Bureau) of the Federal 
Communications Commission (Commission) grants a limited waiver of the Commission’s Wireless 
Emergency Alerts (WEA) rules to permit Participating Commercial Mobile Service (CMS) Providers1 to 
participate in an end-to-end test of WEA that the Milwaukee County, Wisconsin Office of Emergency 
Management (Milwaukee County OEM) proposes to conduct on April 11, 2019, at 1:45 p.m. Central 
Daylight Time (CDT), with a backup test scheduled for April 12, 2019, at 1:45 p.m. CDT.2  For the 
reasons discussed below, we grant the Milwaukee County OEM request, subject to certain conditions.
II. BACKGROUND
2. The WEA system allows authorized government entities to send geographically targeted 
emergency alerts to commercial wireless subscribers who have WEA-capable mobile devices, and whose 
commercial wireless service providers are Participating CMS Providers.3  The Commission’s rules 
prohibit the use of the WEA Attention Signal except during actual emergencies, authorized tests, and 
certain public service announcements.4  Additionally, the Commission’s rules allow testing of WEA 
functionality only in limited circumstances that currently do not include end-to-end WEA tests to the 
1 Participating CMS Providers are commercial mobile service providers that have elected voluntarily to transmit 
WEA alert messages.  47 CFR § 10.10(d), (f).
2 See Letter from Christine Westrich, OEM Director, Milwaukee County Office of Emergency Management, et al., 
to Gregory M. Cooke, Deputy Chief, Policy and Licensing Division, Public Safety and Homeland Security Bureau, 
Federal Communications Commission (filed Mar. 12, 2019) (on file in PS Docket No. 15-91) (Milwaukee County 
Letter).  In a conversation with Bureau staff, Milwaukee County OEM proposes to utilize the same backup test date 
and time as the National Weather Service’s statewide tornado drill.
3 Commercial Mobile Alert System, PS Docket No. 07-287, Third Report and Order, 23 FCC Rcd 12561, 12575, 
para. 32 (2008) (stating the requirements for wireless providers volunteering to participate in WEA).
4 47 CFR § 10.520(d).  The Attention Signal is a loud, attention-grabbing, two-tone audio signal that uses 
frequencies and sounds identical to the attention signal used by the EAS.  Compare 47 CFR § 10.520 with 47 CFR § 
11.31(a)(2).
1474",0,FCC-19-22A3.pdf,Commission documents,"Partitioning, Disaggregation, and Leasing of Spectrum"
"Federal Communications Commission DA 19-202
public.5  On November 1, 2016, the Commission adopted a Report and Order that amends the WEA 
testing rules to permit emergency managers to conduct end-to-end WEA tests to the public, to assess how 
WEA is working within their jurisdictions.6  The rules allowing such tests will not be effective until May 
1, 2019.7
3. The Milwaukee County Letter requests a waiver of the Commission’s rules to allow 
Participating CMS Providers to participate in an end-to-end WEA test on Thursday, April 11, 2019, at 
1:45 p.m. CDT, with a backup date of Friday, April 12, 2019, also at 1:45 p.m. CDT.8  The Milwaukee 
County Letter states that the test will be conducted by the Milwaukee County OEM, which is the primary 
alert and warning authority for the Integrated Public Alert and Warning System (IPAWS) in Milwaukee 
County, and will be held in conjunction with Wisconsin’s Tornado & Severe Weather Awareness Week.9  
According to the Milwaukee County Letter, “[b]y leveraging the existing opportunity to introduce the 
WEA test concurrent with the statewide tornado drill on April 11, OEM can capitalize on longstanding 
public awareness campaigns to increase understanding of WEA.”10  The Milwaukee County Letter also 
states that Southeastern Wisconsin is susceptible to severe spring flooding and occasional tornados.11  
Therefore, according to the Milwaukee County Letter, “it is imperative to test the system now before the 
FCC’s WEA end-to-end testing rules become effective” on May 1, 2019, as “[w]aiting until May to 
implement a program designed to deliver immediate warnings may endanger public safety and put lives at 
risk unnecessarily.”12
4.  The proposed Milwaukee County WEA test would allow Milwaukee County OEM to 
send an alert to the “All-County” polygon, covering the entirety of Milwaukee County, Wisconsin.13  The 
proposed WEA test message to be delivered to mobile devices would be: “This is a TEST of the 
Milwaukee County Wireless Emergency Alert System. No action needed.”14  Milwaukee County OEM 
does not intend this test to substitute for other scheduled tests of the Emergency Alert System (EAS) 
performed in conjunction with local broadcasters.15  Additionally, Milwaukee County OEM has 
5 47 CFR § 10.350.  Specifically, the Commission’s rules require Participating CMS Providers to participate in 
monthly tests initiated by the Federal Emergency Management Agency (FEMA) and in periodic tests of WEA’s C-
Interface.  Id.
6 Wireless Emergency Alerts; Amendments to Part 11 of the Commission’s Rules Regarding the Emergency Alert 
System, Report and Order and Further Notice of Proposed Rulemaking, 31 FCC Rcd 11112, 11154-11157, paras. 65-
68 (2016) (WEA R&O).
7 Id. at 11161, 11165, paras. 79, 85 (stating that the deadline for state and local testing is 30 months after the rule’s 
publication in the Federal Register); Federal Communications Commission, Wireless Emergency Alerts, 
Amendments to Rules Regarding the Emergency Alert System, 81 Fed. Reg. 75710 (Nov. 1, 2016) (establishing the 
date of Federal Register publication).
8 Milwaukee County Letter at 1.  See also supra, note 2 (proposing to utilize the same backup date and time for the 
statewide tornado drill, conducted by the National Weather Service).
9 Id. at 2.
10 Id.
11 Id. at 1.
12 Id. 
13 Id. at 1, 3-4. 
14 Id. at 1.  The text of the test message is 88 characters. 
15 Id.
1475",1,FCC-19-22A3.pdf,Commission documents,"Partitioning, Disaggregation, and Leasing of Spectrum"
"Federal Communications Commission DA 19-202
previously conducted a test of the WEA system in the FEMA IPAWS Lab and has another such test 
scheduled for March 20, 2019.16
5. The Milwaukee County Letter describes an extensive communications plan to notify the 
public about the April 11 WEA test.17  The objectives of the communications plan are to “[e]ngage 
[Milwaukee] County’s population through multiple channels, including earned media, social media 
advertising and elected officials’ constituent communications,” “[d]efine WEA as a component of the 
Emergency Alert System and a modern complement to physical outdoor warning sirens,” and “[p]osition 
OEM as the local emergency alert authority among stakeholders and thoughtleaders.”18  The Milwaukee 
County Letter notes that the communications plan will confirm to the public that the WEA messages are 
only a test, and that Milwaukee County will execute its comprehensive public information campaigns “no 
later than one week before [the] test, to educate the public on this new capability and assure them that the 
WEA alerts are only a test.”19  The Milwaukee County Letter also indicates that it has notified the 
relevant Participating CMS Providers to ensure that they are aware of the test.20  Additionally, Milwaukee 
County OEM is in the process of informing other stakeholders operating within and adjacent to 
Milwaukee County, including elected officials, law enforcement, fire/EMS agencies and Public Safety 
Answering Points (PSAPs), and will engage with other county emergency management agencies located 
within Wisconsin Emergency Management’s Southwest Region.21  
III. DISCUSSION
6. A provision of the Commission’s rules “may be waived by the Commission on its own 
motion or on petition if good cause therefor is shown.”22  The Commission may find good cause to extend 
a waiver, “if special circumstances warrant a deviation from the general rule and such deviation will serve 
the public interest.”23  We conclude that there is good cause to grant the Milwaukee County OEM waiver 
request for the WEA end-to-end test.
7. In light of the seasonal hazards, such as severe spring flooding and tornados, facing 
Milwaukee County, we are persuaded by the Milwaukee County Letter that the proposed WEA test will 
help to implement WEA as a valuable tool in delivering immediate warnings where emergencies may 
endanger public safety.24  Furthermore, we agree with Milwaukee County OEM’s determination that there 
is a benefit to leveraging the Tornado & Severe Weather Awareness Week to introduce the WEA test to 
the public.25  Given the value in coordination among state, local, and national agencies when engaging 
with the public in emergency preparedness exercises, we find waiver relief is warranted.  We believe that 
the proposed test would help educate and prepare the public, as well as assist emergency management 
officials to understand the alert origination and dissemination capabilities of all participants during state 
and local emergency preparedness exercises.  Rather than wait until after May 2019, we believe the 
proposed test would provide alert initiators and emergency managers information of immediate value.  
16 Id. at 2-3.
17 Id. at 2, 5-14.
18 Id. at 5.
19 Id. at 2. 
20 Id.
21 Id. at 2, 6-12.
22 47 CFR § 1.3.
23 See Northeast Cellular Telephone Co. v. FCC, 897 F.2d 1164, 1166 (D.C. Cir. 1990) (citing WAIT Radio v. FCC, 
418 F.2d 1153, 1159 (D.C. Cir. 1969), aff’d, 459 F.2d 1203 (1973), cert. denied, 409 U.S. 1027 (1972)).
24 Milwaukee County Letter at 1.
25 Id. at 2.
1476",2,FCC-19-22A3.pdf,Commission documents,"Partitioning, Disaggregation, and Leasing of Spectrum"
"Federal Communications Commission DA 19-202
Accordingly, we conclude that it is in the public interest to grant a limited waiver of the Commission’s 
WEA rules to Milwaukee County OEM in this instance.26
8. We observe, however, that the proposed Milwaukee County OEM WEA test would not be 
in the public interest if it was presented in a manner that could lead the public to conclude that an actual 
alert is being transmitted, or would otherwise confuse the public.27  We therefore condition this waiver 
upon the full implementation of the outreach plan described in the Milwaukee County Letter, including 
outreach to the public, press, and relevant government agencies, and making clear that members of the 
public may receive multiple test messages.
9. We further condition this waiver to require that the test may only be conducted on April 
11, 2019, at 1:45 p.m. CDT, as referenced in the Milwaukee County Letter, or on the backup date on April 
12, 2019, also at 1:45 p.m. CDT, and may only be conducted for the purposes described therein.  
Specifically, the waiver is based on representations that:
(1) this test is necessary to assess and validate the readiness and effectiveness of the 
emergency warning system, plans and infrastructure, and ability of participants to 
disseminate emergency messages to the public;
(2) Milwaukee County OEM has notified, and will coordinate with, the relevant 
Participating CMS Providers, elected officials, law enforcement, fire/EMS agencies, 
PSAPs, and other county emergency management agencies within Wisconsin 
Emergency Management’s Southeast Region to ensure that they are aware of the tests 
and can confirm to the public that the WEA message is a test; 
(3) pre-test publicity efforts will include a comprehensive media campaign, 
which will engage Milwaukee County’s population through multiple channels, 
including earned media, social media advertising, and elected officials’ constituent 
communications; 
(4) use of “test” wording as described by the Milwaukee County letter will be 
used in the test message; and 
(5) this test will not be a substitute for other scheduled tests of WEA or EAS.
10. We also require that the test and any post-test analysis and reports that Milwaukee County 
may conduct or cause to be produced, are done in a manner consistent with customers’ expectations of 
privacy, confidentiality of Participating CMS Providers’ network information, and the overall security of 
the WEA systems and infrastructure.28  We encourage Milwaukee County to report its test results in 
electronic format to the Bureau.  Finally, we encourage members of the public who wish to share feedback 
on their experience with the test to do so by filing them with the FCC’s Public Safety Support Center at 
https://www.fcc.gov/general/public-safety-support-center.
IV. ORDERING CLAUSE
11. Accordingly, IT IS ORDERED that, pursuant to Section 4(i) of the Communications Act  
of 1934, as amended, 47 U.S.C. § 154(i), and Section 1.3 of the Commission’s rules, 47 CFR § 1.3, 
26 These waivers do not extend to any other circumstances involving the broadcast or transmission of the WEA 
Attention Signal.
27 For example, transmitting a WEA test message without first informing emergency responders, such as 911 call  
centers, and the public about the test, could predictably result in confusion or panic.
28 See 47 U.S.C. § 222.
1477",3,FCC-19-22A3.pdf,Commission documents,"Partitioning, Disaggregation, and Leasing of Spectrum"
"Federal Communications Commission DA 19-202
Sections 10.400, 10.520(d), 10.530(b), and 11.45 of the Commission’s rules, 47 CFR §§10.400, 
10.520(d), 10.530(b), and 11.45 of the Commission’s rules, ARE WAIVED, to allow:  one test of the 
WEA in Milwaukee County, Wisconsin on April 11, 2019, at 1:45 p.m. CDT, with a backup date of April 
12, 2019, at 1:45 p.m. CDT, which test must be conducted subject to the conditions described herein.  
This action is taken under delegated authority pursuant to Sections 0.191 and 0.392 of the Commission’s 
rules, 47 CFR §§ 0.191 and 0.392.
FEDERAL COMMUNICATIONS COMMISSION
Lisa M. Fowlkes
Chief, Public Safety and Homeland Security Bureau
Federal Communications Commission
1478",4,FCC-19-22A3.pdf,Commission documents,"Partitioning, Disaggregation, and Leasing of Spectrum"
"MAY082019
FederalCommunications Conimission
Washington, D.C.20554
JohnC.Trent
Putbrese Hunsaker &Trent,P.C.
200S.ChurchStreet
Woodstock, Virginia 22664
Licensee/Applicant: CramMediaGroup,EEC
Waiver/Refund Request: LatePayment Penalty
Disposition: Denied(47C.F.R.§1.1157(c)(1),
1.1164)
Stations/Call Signs:KAWW, KSMD,KBGB,
KCNY,KHTE-FM, KRZS,KEAZ,KWCK-FM,
K242AZ
Fee:fiscalYear(FY)2017Regulatory FeeLate
Fee
DateRequestFiled:January2,2018
DateRegulatory FeePaid:November 1,2017
DateLatePenaltyFeePaid:November 1,2017
FeeControlNo.:RROG-PGC3O 17666
DearMr.Trent:
Thisresponds totherequestyoufiledonbehalfofyourclientCramMediaGroup,LLC
(Cram)forawaiverandrefundofthepenalties paidforCram’slatepaymentofitsfiscalYear
(FY)2017regulatory fees(Request)’. forthereasonsstatedbelow,wedenytheRequest.
Under47U.S.C.§159andtheCommission’s implementing rules,wearerequired to
“assessandcollectregulatory fees”torecoverthecostsoftheCommission’s regulatory
activities,2 andwhentherequiredpayment isreceived lateoritisincomplete, toassessapenalty
equalto“25percentoftheamountofthefeewhichwasnotpaidinatimelymanner.”3
Specifically, “[amylatepayment orinsufficient payment ofaregulatory fee,notexcusedby
‘LetterfromJohnC.Trent,Putbrese Hunsaker &Trent,P.C.,200S.ChurchStreet.Woodstock, Virginia22664,to
Marlene H.Dortch(December 29,2017,rec’dJanuary2,2018)(Request).
247U.S.C.§159(a)(1):47 C.F.R.§1.1151.
347U.S.C.§159(c)(1); 47C.F.R.§1.1157(c)(1); 1.1164.
1
1176",0,FCC-19-22A2.pdf,Commission documents,"Partitioning, Disaggregation, and Leasing of Spectrum"
"bankerror,shallsubjecttheregulateetoa25percentpenaltyoftheamountofthefee...which
wasnotpaidinatimelymanner.”4
Eachyear,theCommissionestablishesthefinaldayonwhichpaymentmustbereceived
beforeitisconsideredlate,i.e.,adeadlineafterwhichtheCommissionmustassesschargesthat
includethestatutorylatepaymentpenaltyrequiredby47U.S.C.§159(c)(1)and47C.F.R.§
1.1157(c)(1)and1.1164.ForFY2017,thedeadlineforpayingregulatoryfeeswasSeptember
26,2017.Unfortunately,CramdidnotpayitsFY2017regulatoryfeesuntilNovember1,2017.
Cramrequeststhatwewaiveandrefundthelatepaymentchargesdueto“atechnical
erroroftheFRNinformationlogin,computererrorandasubsequentclericalerrorinfollowing
upontheregulatoryfeepaymentduedate”,asaresultofwhichCram“inadvertentlymissedthe
paymentdeadline”.6Whenweevaluatesuchmatters,weconsiderwhethertheRequestestablishesthe
existenceofbankerrororpresentslegalgroundsorclearmitigatingcircumstancestowaive
collectionofthepenaltypayments.Cram’sRequestdoesnot.
Repeatedly,theCommissionhasheldthat“[l]icenseesareexpectedtoknowandcomply
withtheCommission’srulesandregulationsandwillnotbeexcusedforviolationsthereof,
absentclearmitigatingcircumstances.”7
Cramdoesnotpresentvalidgroundsforrelief.Thepenaltyrequiredby47U.S.C.§
159(c)(1)isnotlimitedtosituationswherethefailuretopaywasknowingorwillful,butinclude
mistakesmadebyandcircumstanceswithinthecontrolofthelicensee,asisthecasehere.
IfCramhasanyquestionsconcerningthismatter,pleasecalltheRevenue&Receivables
OperationsGroupat(202)418-1995.Sincerely,
KathleenHeV
‘ChiefFinancialOfficer
447C.F.R.§1.1164.
‘AIthoughtheCommissionextendedtheSeptember26,2017deadlinetoSeptember29,2017forregulatees
affectedHurricanesHarvey,IrmaandMariaincertainstatesandterritories,theextendeddeadlinedidnotapplyto
Cram.SeeEffectiveDateofFY2017RegulatoryFeesandMulti-YearWirelessFees,PublicNotice(September29,
2017);RegulatoryFeeFilingWindowforThoseRegulateesAffectedbyHurricaneMariaisExtendedtoFriday,
September29,2017,PublicNotice,DA17-940(September27,2017).
Request.SeeSitkaBroadcastingCo.,Inc.,70FCC2d2375,2378(1979),citingLowndesCountyBroadcastingCo.,23FCC
2d91(1970)andEmporiumBroadcastingCo.,23FCC2d868(1970);seealsoNextGenTelephone(OMD,Apr.
22,2010);Istet,Inc.(OMD,Apr.22,2010).2
1177",1,FCC-19-22A2.pdf,Commission documents,"Partitioning, Disaggregation, and Leasing of Spectrum"
"Federal Communications Commission FCC 19-22
Before the
Federal Communications Commission
Washington, D.C. 20554
In the Matter of
Partitioning, Disaggregation, and 
Leasing of Spectrum)
)
)
)WT Docket No. 19-38
NOTICE OF PROPOSED RULEMAKING
Adopted:  March 15, 2019 Released:  March 15, 2019
Comment Date:  60 days after Federal Register publication
Reply Comment Date:  90 days after Federal Register publication
By the Commission: Chairman Pai and Commissioners O’Rielly, Carr, Rosenworcel, and Starks issuing 
separate statements.
I. INTRODUCTION
1. As part of the Commission’s continuing efforts to close the digital divide and to increase 
spectrum access by small and rural carriers, the Commission adopts this Notice of Proposed Rulemaking 
exploring how potential changes to our partitioning, disaggregation, and leasing rules might better serve 
those goals.  The Notice also satisfies the requirement under the Making Opportunities for Broadband 
Investment and Limiting Excessive and Needless Obstacles to Wireless Act (MOBILE NOW Act),1 
which includes provisions requiring that the Commission take various actions concerning licensing, 
infrastructure, and deployment of wireless broadband services.  Among the provisions is a requirement 
that the Commission initiate a rulemaking to consider specific questions related to the partitioning or 
disaggregation of spectrum licenses and spectrum leasing as a potential means to increase availability of 
advanced telecommunications services in rural areas and spectrum access by small carriers.
II. BACKGROUND
A. Existing Partitioning, Disaggregation, and Spectrum Leasing Rules
2.Partitioning and Disaggregation.  Since its seminal 1996 CMRS Partitioning and 
Disaggregation Order,2 which adopted rules to permit geographic partitioning and spectrum 
disaggregation for Broadband PCS licenses, the Commission has adopted partitioning and disaggregation 
rules on a service-by-service basis as part of its long-held goal to provide licensees the “flexibility to 
determine the amount of spectrum they will occupy and the geographic area they will serve.”3  The 
1 MOBILE NOW Act, Pub. L. No. 115-141, Division P, Title VI, § 601 et seq. (2018).  The MOBILE NOW Act 
became law on March 23, 2018.
2 Geographic Partitioning and Spectrum Disaggregation by Commercial Mobile Radio Service Licensees, Report 
and Order and Further Notice of Proposed Rulemaking, 11 FCC Rcd 21831, para. 1 (1996).
3 Id.  See, e.g., Service Rules for Advanced Wireless Services in the 2000-2020 MHz and 2180-2200 MHz Bands, 
Report and Order and Order of Proposed Modification, 27 FCC Rcd 16102, 16194-96, paras. 244-53 (2012) (AWS-
4); Service Rules for the 698-746, 747-762 and 777-792 MHz Bands, Second Report and Order, 22 FCC Rcd 15289, 
15381, 15355-58, paras. 178-88 (2007) (Lower 700 MHz); Amendment of Part 90 of the Commission’s Rules to 
Facilitate Future Development of SMR Systems in the 800 MHz Frequency Band, Second Report and Order, 12 FCC 
Rcd 19079, 19127-54, paras. 138-227 (1997) (800 MHz and 900 MHz SMR).
1758",0,FCC-19-22A1_Rcd.pdf,Commission documents,"Partitioning, Disaggregation, and Leasing of Spectrum"
"Federal Communications Commission FCC 19-22
Commission continues to allow partitioning and disaggregation of licenses for all services categorized as 
Wireless Radio Services.4
3. The Commission’s partitioning and disaggregation rules apply to all “Covered 
Geographic Licenses,” which are defined to consist of specified wireless radio services for which the 
Commission has auctioned exclusive spectrum rights in defined geographic areas.5  Under these existing 
Commission rules, “geographic partitioning” is the assignment of a geographic portion of a geographic 
area licensee’s license area.6  “Spectrum disaggregation” is the assignment of portions of blocks of a 
geographic area licensee’s spectrum.7
4. Covered geographic area licensees currently may seek Commission approval for 
partitioning, disaggregation, or a combination of both, by filing FCC Form 603 as part of an application 
for a partial assignment of authorization, pursuant to section 1.948 of the Commission’s rules.8  The 
license term for a partitioned license area or disaggregated spectrum license is the remainder of the 
original licensee’s license term.9  Parties to a geographic partitioning, a spectrum disaggregation, or a 
combination of both have two options to satisfy service-specific performance requirements (i.e., 
construction and operation requirements).10  First, each party may certify that it will individually satisfy 
any service-specific requirements and, upon failure to do so, must individually face any service-specific 
performance penalties.  Alternatively, both parties may agree to share responsibility for any service-
specific requirements, and in the event of a failure to meet their shared service-specific performance 
requirements, both parties are subject to any service-specific penalties.
5. The Commission has received over 1,000 assignment applications involving partitioning 
and disaggregation pertaining to more than 4,000 licenses over the last 10 years.  These have included 
assignment applications in which larger providers assigned spectrum to smaller entities.11
6.Spectrum Leasing.  In 2003, the Commission adopted the first comprehensive set of rules 
to allow licensees in the Wireless Radio Services to enter into a variety of spectrum leasing 
4 See Amendment of Parts 1, 22, 24, 27, 74, 80, 90, 95, and 101 To Establish Uniform License Renewal et al., 
Second Report and Order and Further Notice of Proposed Rulemaking and Order, 32 FCC Rcd 8874 (2017) (WRS 
Renewal Reform Second Report and Order); see also 47 CFR § 1.950 (not yet effective).
5 See id. § 1.907 (“Covered geographic licenses consist of the following services: 1.4 GHz Service (part 27, subpart I 
of this chapter); 1.6 GHz Service (part 27, subpart J); 24 GHz Service and Digital Electronic Message Services (part 
101, subpart G); 218–219 MHz Service (part 95, subpart F); 220–222 MHz Service, excluding public safety licenses 
(part 90, subpart T); 600 MHz Service (part 27, subpart N); 700 MHz Commercial Services (part 27, subparts F and 
H); 700 MHz Guard Band Service (part 27, subpart G); 800 MHz Specialized Mobile Radio Service (part 90, 
subpart S); 900 MHz Specialized Mobile Radio Service (part 90, subpart S); Advanced Wireless Services (part 27, 
subparts K and L); Air–Ground Radiotelephone Service (Commercial Aviation) (part 22, subpart G); Broadband 
Personal Communications Service (part 24, subpart E); Broadband Radio Service (part 27, subpart M); Cellular 
Radiotelephone Service (part 22, subpart H); Dedicated Short Range Communications Service, excluding public 
safety licenses (part 90, subpart M); H Block Service (part 27, subpart K); Local Multipoint Distribution Service 
(part 101, subpart L); Multichannel Video Distribution and Data Service (part 101, subpart P); Multilateration 
Location and Monitoring Service (part 90, subpart M); Multiple Address Systems (EAs) (part 101, subpart O);",1,FCC-19-22A1_Rcd.pdf,Commission documents,"Partitioning, Disaggregation, and Leasing of Spectrum"
